iter	Passed	Remaining
580	1417	1022
581	1419	1019
582	1421	1016
583	1422	1013
584	1424	1010
585	1426	1007
586	1428	1005
587	1431	1002
588	1433	1000
589	1435	997
590	1437	994
591	1440	992
592	1442	990
593	1444	987
594	1446	984
595	1448	982
596	1450	979
597	1454	977
598	1456	975
599	1459	972
600	1461	970
601	1463	967
602	1465	964
603	1467	961
604	1468	958
605	1471	956
606	1473	954
607	1476	952
608	1479	949
609	1481	947
610	1484	944
611	1486	942
612	1489	940
613	1492	938
614	1495	936
615	1497	933
616	1499	930
617	1501	928
618	1503	925
619	1505	922
620	1508	920
621	1510	918
622	1513	915
623	1515	913
624	1517	910
625	1519	908
626	1521	905
627	1523	902
628	1526	900
629	1528	897
630	1530	895
631	1533	893
632	1536	890
633	1538	888
634	1541	885
635	1543	883
636	1545	880
637	1547	878
638	1549	875
639	1552	873
640	1554	870
641	1556	867
642	1558	865
643	1561	862
644	1563	860
645	1565	857
646	1567	855
647	1569	852
648	1571	849
649	1573	847
650	1574	844
651	1576	841
652	1579	839
653	1581	836
654	1583	834
655	1586	832
656	1588	829
657	1590	826
658	1592	824
659	1594	821
660	1596	818
661	1597	815
662	1599	813
663	1602	810
664	1604	808
665	1606	805
666	1609	803
667	1611	800
668	1612	798
669	1614	795
670	1616	792
671	1618	789
672	1620	787
673	1621	784
674	1623	781
675	1625	778
676	1626	776
677	1628	773
678	1630	770
679	1631	767
680	1633	765
681	1635	762
682	1636	759
683	1638	756
684	1639	754
685	1641	751
686	1643	748
687	1645	746
688	1646	743
689	1648	740
690	1649	737
691	1651	735
692	1653	732
693	1654	729
694	1656	726
695	1657	724
696	1659	721
697	1661	718
698	1662	715
699	1664	713
700	1665	710
701	1667	707
702	1668	705
703	1670	702
704	1671	699
705	1672	696
706	1674	694
707	1676	691
708	1677	688
709	1679	685
710	1680	683
711	1682	680
712	1684	677
713	1685	675
714	1687	672
715	1689	670
716	1691	667
717	1692	664
718	1694	662
719	1696	659
720	1697	656
721	1699	654
722	1701	651
723	1704	649
724	1706	647
725	1709	645
726	1711	642
727	1713	640
728	1716	638
729	1718	635
730	1720	633
731	1722	630
732	1723	627
733	1725	625
734	1727	622
735	1728	620
736	1730	617
737	1732	614
738	1733	612
739	1735	609
740	1737	607
741	1738	604
742	1740	602
743	1742	599
744	1744	597
745	1746	594
746	1748	592
747	1750	589
748	1751	587
749	1753	584
750	1755	581
751	1756	579
752	1758	576
753	1760	574
754	1762	571
755	1764	569
756	1766	566
757	1769	564
758	1771	562
759	1773	560
760	1776	557
761	1778	555
762	1780	553
763	1782	550
764	1784	548
765	1786	545
766	1789	543
767	1790	540
