iter	Passed	Remaining
624	2090	1254
625	2092	1250
626	2096	1246
627	2098	1243
628	2100	1239
629	2102	1234
630	2104	1230
631	2105	1226
632	2107	1221
633	2110	1218
634	2112	1214
635	2114	1210
636	2115	1205
637	2117	1201
638	2119	1197
639	2121	1193
640	2122	1188
641	2126	1185
642	2128	1181
643	2129	1177
644	2131	1173
645	2133	1169
646	2135	1164
647	2136	1160
648	2141	1158
649	2143	1154
650	2145	1150
651	2147	1146
652	2148	1141
653	2150	1137
654	2152	1134
655	2157	1131
656	2159	1127
657	2161	1123
658	2163	1119
659	2167	1116
660	2169	1112
661	2172	1109
662	2174	1105
663	2176	1101
664	2178	1097
665	2180	1093
666	2182	1089
667	2187	1087
668	2189	1083
669	2190	1079
670	2192	1075
671	2195	1071
672	2197	1067
673	2201	1065
674	2204	1061
675	2207	1057
676	2209	1054
677	2212	1050
678	2217	1048
679	2219	1044
680	2223	1041
681	2226	1038
682	2228	1034
683	2235	1032
684	2237	1028
685	2239	1024
686	2241	1021
687	2243	1017
688	2245	1013
689	2249	1010
690	2252	1007
691	2254	1003
692	2257	999
693	2265	998
694	2267	995
695	2270	991
696	2273	988
697	2282	987
698	2284	983
699	2286	980
700	2288	976
701	2292	973
702	2298	970
703	2300	967
704	2301	963
705	2303	959
706	2305	955
707	2311	953
708	2314	949
709	2315	945
710	2317	942
711	2319	938
712	2329	937
713	2331	934
714	2333	930
715	2335	926
716	2344	925
717	2348	922
718	2351	918
719	2354	915
720	2359	912
721	2365	910
722	2366	906
723	2373	904
724	2375	901
725	2381	898
726	2385	895
727	2389	892
728	2396	890
729	2403	888
730	2405	885
731	2410	882
732	2416	880
733	2419	876
734	2422	873
735	2423	869
736	2425	865
737	2435	864
738	2437	860
739	2439	857
740	2442	853
741	2447	851
742	2452	848
743	2454	844
744	2460	842
745	2479	844
746	2484	841
747	2486	837
748	2489	834
749	2493	831
750	2494	827
751	2496	823
752	2498	819
753	2500	815
754	2502	811
755	2508	809
756	2509	805
757	2512	802
758	2514	798
759	2516	794
760	2522	792
761	2524	788
762	2526	784
763	2528	781
764	2531	777
765	2537	775
766	2539	771
767	2541	767
768	2543	763
769	2544	760
770	2546	756
771	2551	753
772	2553	749
773	2555	746
774	2557	742
775	2558	738
776	2560	734
777	2562	731
778	2566	728
779	2568	724
780	2570	720
781	2572	717
782	2574	713
783	2576	709
784	2578	706
785	2580	702
786	2581	698
787	2583	695
788	2585	691
789	2587	687
790	2589	684
791	2590	680
792	2595	677
793	2597	674
794	2599	670
795	2601	666
796	2603	663
797	2605	659
798	2610	656
799	2613	653
800	2615	649
801	2617	646
802	2620	642
803	2621	639
804	2626	636
805	2628	632
806	2629	628
807	2631	625
808	2633	621
809	2635	618
810	2636	614
811	2641	611
812	2643	607
813	2645	604
814	2646	600
815	2648	597
816	2650	593
817	2652	590
818	2655	586
819	2657	583
820	2659	579
821	2660	576
822	2662	572
823	2664	569
824	2665	565
825	2670	562
826	2671	558
827	2673	555
828	2675	551
829	2676	548
830	2678	544
831	2680	541
832	2682	537
833	2684	534
834	2686	530
835	2688	527
836	2689	523
837	2691	520
838	2693	516
839	2694	513
840	2699	510
841	2701	506
842	2703	503
843	2705	499
844	2707	496
845	2709	493
846	2713	490
847	2715	486
848	2717	483
849	2720	480
850	2723	476
851	2725	473
852	2731	470
853	2732	467
854	2734	463
855	2736	460
856	2738	457
857	2740	453
858	2744	450
859	2746	447
860	2748	443
861	2750	440
862	2752	436
863	2754	433
864	2759	430
865	2761	427
866	2763	423
867	2765	420
868	2767	417
869	2769	413
870	2770	410
871	2776	407
872	2778	404
873	2780	400
874	2782	397
875	2784	394
876	2786	390
877	2790	387
878	2792	384
879	2794	381
880	2796	377
881	2798	374
882	2800	371
883	2804	367
884	2806	364
885	2808	361
886	2811	358
887	2814	354
888	2816	351
889	2821	348
890	2823	345
891	2825	342
892	2828	338
893	2830	335
894	2832	332
895	2836	329
896	2838	325
897	2840	322
898	2842	319
899	2844	316
900	2846	312
901	2850	309
902	2852	306
903	2854	303
904	2856	299
905	2857	296
906	2859	293
907	2861	289
908	2863	286
909	2866	283
910	2868	280
911	2869	276
912	2871	273
913	2873	270
914	2874	267
915	2876	263
916	2880	260
917	2883	257
918	2884	254
919	2886	251
920	2888	247
921	2890	244
922	2892	241
923	2894	238
924	2896	234
925	2898	231
926	2900	228
927	2901	225
928	2903	221
929	2905	218
930	2910	215
931	2912	212
932	2914	209
933	2916	206
934	2918	202
935	2920	199
936	2925	196
937	2927	193
938	2928	190
939	2930	187
940	2932	183
941	2934	180
942	2936	177
943	2941	174
944	2943	171
945	2945	168
946	2946	164
947	2948	161
948	2950	158
949	2954	155
950	2957	152
951	2958	149
952	2960	146
953	2962	142
954	2964	139
955	2966	136
956	2970	133
957	2973	130
958	2975	127
959	2976	124
960	2978	120
961	2981	117
962	2983	114
963	2985	111
964	2987	108
965	2989	105
966	2992	102
967	2994	98
968	3000	95
969	3002	92
970	3004	89
971	3007	86
972	3010	83
973	3015	80
974	3017	77
975	3018	74
976	3021	71
977	3024	68
978	3026	64
979	3030	61
980	3031	58
981	3033	55
982	3035	52
983	3037	49
984	3039	46
985	3043	43
986	3046	40
987	3048	37
988	3050	33
989	3053	30
990	3055	27
991	3060	24
992	3062	21
993	3064	18
994	3066	15
995	3068	12
996	3069	9
997	3074	6
998	3075	3
999	3077	0
